Country,CountryName,TotalCase,NewCase,TotalDeath,NewDeath,TotalRecoverd,Active,Serious,TotalTests,Population,Date,AverageDate
C,Canada,115799,329,8929,12,100862,6008,2240,3996625,37768699,7/30/20,07/15/20
Q,Qatar,110460,307,171,2,107135,3154,91,492569,2807805,7/30/20,07/15/20
I,Indonesia,106336,1904,5058,83,64292,36986,0,1477629,273753080,7/30/20,07/15/20
E,Egypt,93757,401,4774,46,38236,50747,41,135000,102479554,7/30/20,07/15/20
P,Philippines,89291,3871,1983,23,65022,22286,351,1462755,109694822,7/30/20,07/15/20
K,Kazakhstan,87664,1472,793,0,57815,29056,221,2079540,18794372,7/30/20,07/15/20
E,Ecuador,84370,1177,5657,34,35824,42889,350,238224,17663697,7/30/20,07/15/20
C,China,84165,105,4634,0,78957,574,6,90410000,1439323776,7/30/20,07/15/20
S,Sweden,80377,314,5734,0,0,0,41,810356,10104394,7/30/20,07/15/20
O,Oman,79159,590,421,9,61421,17317,187,305651,5115955,7/30/20,07/15/20
B,Bolivia,73534,1207,2808,88,22506,48220,71,158497,11685413,7/30/20,07/15/20
I,Israel,70036,1737,500,9,43489,26047,328,1651766,9197590,7/30/20,07/15/20
U,Ukraine,68794,1197,1673,23,38154,28967,102,1013793,43710857,7/30/20,07/15/20
D,Dominican Republic,67915,1733,1146,23,35302,31467,284,255356,10856569,7/30/20,07/15/20
B,Belarus,67665,147,553,5,61765,5347,0,1288586,9449060,7/30/20,07/15/20
B,Belgium,67335,673,9836,3,17492,40007,47,1618788,11593776,7/30/20,07/15/20
K,Kuwait,66529,626,445,1,57330,8754,134,502168,4275450,7/30/20,07/15/20
P,Panama,64191,922,1397,23,38218,24576,161,219942,4319982,7/30/20,07/15/20
U,UAE,60223,302,349,2,53626,6248,0,5021657,9899794,7/30/20,07/15/20
N,Netherlands,53963,342,6147,0,0,0,27,962965,17138032,7/30/20,07/15/20
S,Singapore,51809,278,27,0,46308,5474,0,1321094,5854053,7/30/20,07/15/20
P,Portugal,50868,255,1727,2,36140,13001,42,1591873,10194159,7/30/20,07/15/20
R,Romania,49591,1356,2304,35,26609,20678,402,1177630,19226464,7/30/20,07/15/20
G,Guatemala,48826,1221,1867,32,35629,11330,5,148164,17940552,7/30/20,07/15/20
P,Poland,45031,615,1709,15,33643,9679,63,2210041,37843091,7/30/20,07/15/20
N,Nigeria,42689,481,878,5,19270,22541,7,272748,206508288,7/30/20,07/15/20
H,Honduras,40944,484,1259,45,5281,34404,59,98904,9916688,7/30/20,07/15/20
B,Bahrain,40755,444,146,2,37357,3252,41,826672,1705531,7/30/20,07/15/20
A,Armenia,38196,259,728,5,28366,9102,10,161754,2963706,7/30/20,07/15/20
A,Afghanistan,36542,71,1271,0,25471,9800,31,88524,38992638,7/30/20,07/15/20
K,Kyrgyzstan,35223,631,1364,17,23985,9874,24,267718,6532418,7/30/20,07/15/20
G,Ghana,35142,0,175,0,31286,3681,8,382752,31121053,7/30/20,07/15/20
S,Switzerland,35022,220,1980,1,31100,1942,24,784786,8659744,7/30/20,07/15/20
J,Japan,33049,1148,1004,3,24179,7866,90,785224,126443231,7/30/20,07/15/20
A,Azerbaijan,31560,339,441,3,25168,5951,66,717164,10146497,7/30/20,07/15/20
A,Algeria,29831,602,1200,14,20082,8549,62,0,43910914,7/30/20,07/15/20
I,Ireland,26027,85,1763,1,23364,900,4,628987,4942146,7/30/20,07/15/20
S,Serbia,25213,321,565,7,14047,10601,150,659548,8734335,7/30/20,07/15/20
M,Moldova,24343,396,771,12,17040,6532,362,128076,4033162,7/30/20,07/15/20
U,Uzbekistan,23271,686,136,5,13680,9455,138,1377915,33506746,7/30/20,07/15/20
M,Morocco,23259,1046,346,12,17311,5602,31,1231195,36944994,7/30/20,07/15/20
A,Austria,20955,105,718,2,18628,1609,18,880036,9010596,7/30/20,07/15/20
K,Kenya,19913,788,325,14,8121,11467,44,289759,53858455,7/30/20,07/15/20
N,Nepal,19547,274,52,3,14248,5247,0,677050,29176450,7/30/20,07/15/20
V,Venezuela,17859,701,158,4,10421,7280,25,1521688,28429034,7/30/20,07/15/20
C,Costa Rica,17290,490,140,7,4280,12870,75,84815,5097841,7/30/20,07/15/20
C,Cameroon,17255,0,391,0,15320,1544,30,149000,26593511,7/30/20,07/15/20
E,Ethiopia,16615,805,263,10,6763,9589,134,413397,115169108,7/30/20,07/15/20
C,Czechia,16371,278,379,5,11482,4510,22,683462,10710641,7/30/20,07/15/20
A,Australia,16303,721,189,13,9758,6356,39,4153568,25523207,7/30/20,07/15/20
E,El Salvador,16230,389,439,9,8206,7585,503,236501,6488889,7/30/20,07/15/20
I,Ivory Coast,15978,165,100,1,11160,4718,0,99734,26425419,7/30/20,07/15/20
S,S. Korea,14269,18,300,0,13132,837,13,1556215,51272891,7/30/20,07/15/20
D,Denmark,13725,91,615,1,12526,584,3,1511767,5793890,7/30/20,07/15/20
P,Palestine,11548,264,81,1,5016,6451,0,155355,5110066,7/30/20,07/15/20
S,Sudan,11496,0,725,0,6001,4770,0,401,43923903,7/30/20,07/15/20
B,Bosnia and Herzegovina,11444,317,328,12,5586,5530,0,137604,3279038,7/30/20,07/15/20
B,Bulgaria,11420,265,374,6,6173,4873,34,261463,6943849,7/30/20,07/15/20
M,Madagascar,10748,431,105,6,7461,3182,94,40769,27742048,7/30/20,07/15/20
N,North Macedonia,10617,114,480,4,6020,4117,5,100940,2083367,7/30/20,07/15/20
S,Senegal,10106,145,204,4,6725,3177,48,107814,16775409,7/30/20,07/15/20
N,Norway,9208,36,255,0,8752,201,2,440891,5424661,7/30/20,07/15/20
D,DRC,9010,79,215,5,6437,2358,0,0,89749872,7/30/20,07/15/20
M,Malaysia,8964,8,124,0,8617,223,3,963079,32398441,7/30/20,07/15/20
F,French Guiana,7728,81,43,0,6270,1415,30,38199,299236,7/30/20,07/15/20
F,Finland,7423,9,329,0,6950,144,0,354342,5541440,7/30/20,07/15/20
H,Haiti,7378,7,159,1,4467,2752,0,17539,11413445,7/30/20,07/15/20
T,Tajikistan,7366,46,60,0,6151,1155,0,0,9553361,7/30/20,07/15/20
G,Gabon,7352,0,49,0,4943,2360,11,75222,2229556,7/30/20,07/15/20
G,Guinea,7242,59,46,0,6438,758,24,14407,13158067,7/30/20,07/15/20
L,Luxembourg,6616,83,114,0,5027,1475,6,410443,626757,7/30/20,07/15/20
M,Mauritania,6295,22,157,1,4889,1249,3,57253,4658382,7/30/20,07/15/20
Z,Zambia,5555,306,149,3,3289,2117,18,81482,18420243,7/30/20,07/15/20
P,Paraguay,5207,341,47,1,3250,1910,8,125361,7139415,7/30/20,07/15/20
A,Albania,5197,92,154,4,2883,2160,17,35986,2877530,7/30/20,07/15/20
D,Djibouti,5081,0,58,0,4999,24,0,56721,989112,7/30/20,07/15/20
C,Croatia,5071,78,144,3,4178,749,6,117170,4103058,7/30/20,07/15/20
C,CAR,4605,0,59,0,1574,2972,2,29431,4836145,7/30/20,07/15/20
H,Hungary,4484,19,596,0,3346,542,6,336461,9658252,7/30/20,07/15/20
G,Greece,4401,65,203,0,1374,2824,7,519887,10418642,7/30/20,07/15/20
L,Lebanon,4334,129,57,2,1753,2524,29,293452,6822802,7/30/20,07/15/20
M,Malawi,3858,120,107,4,1760,1991,4,29212,19165353,7/30/20,07/15/20
M,Maldives,3719,152,16,1,2568,1135,12,78040,541266,7/30/20,07/15/20
N,Nicaragua,3672,0,116,0,2492,1064,0,0,6630756,7/30/20,07/15/20
L,Libya,3438,216,73,2,604,2761,0,50036,6878565,7/30/20,07/15/20
T,Thailand,3304,6,58,0,3111,135,1,717814,69814554,7/30/20,07/15/20
S,Somalia,3212,0,93,0,1562,1557,2,0,15924499,7/30/20,07/15/20
C,Congo,3200,0,54,0,829,2317,0,0,5527900,7/30/20,07/15/20
H,Hong Kong,3152,149,25,1,1660,1467,39,524969,7501879,7/30/20,07/15/20
Z,Zimbabwe,3092,213,53,12,924,2115,0,129899,14879663,7/30/20,07/15/20
E,Equatorial Guinea,3071,0,51,0,842,2178,0,16000,1406115,7/30/20,07/15/20
M,Montenegro,3016,0,47,0,931,2038,7,34818,628073,7/30/20,07/15/20
M,Mayotte,2962,57,39,0,2721,202,1,13000,273292,7/30/20,07/15/20
S,Sri Lanka,2814,4,11,0,2333,470,1,155540,21420649,7/30/20,07/15/20
C,Cuba,2597,9,87,0,2355,155,1,256996,11326031,7/30/20,07/15/20
E,Eswatini,2577,26,40,0,1134,1403,5,20784,1161118,7/30/20,07/15/20
M,Mali,2522,1,124,0,1931,467,0,22011,20291700,7/30/20,07/15/20
C,Cabo Verde,2418,45,23,0,1694,701,0,41634,556465,7/30/20,07/15/20
S,South Sudan,2322,0,46,0,1175,1101,0,12044,11204063,7/30/20,07/15/20
S,Slovakia,2265,20,28,0,1675,562,2,257535,5459865,7/30/20,07/15/20
S,Slovenia,2139,24,118,1,1780,241,3,130612,2078962,7/30/20,07/15/20
L,Lithuania,2062,19,80,0,1643,339,6,515797,2718842,7/30/20,07/15/20
N,Namibia,2052,66,10,1,164,1878,24,25625,2544383,7/30/20,07/15/20
E,Estonia,2051,9,69,0,1926,56,1,118574,1326610,7/30/20,07/15/20
R,Rwanda,1994,31,5,0,1085,904,0,260025,12975387,7/30/20,07/15/20
G,Guinea-Bissau,1981,27,26,0,803,1152,5,1500,1971385,7/30/20,07/15/20
I,Iceland,1872,11,10,0,1823,39,0,130600,341423,7/30/20,07/15/20
S,Sierra Leone,1818,15,67,0,1362,389,0,0,7989061,7/30/20,07/15/20
M,Mozambique,1808,60,11,0,638,1159,0,56160,31317149,7/30/20,07/15/20
B,Benin,1805,0,36,0,1036,733,1,85863,12145882,7/30/20,07/15/20
Y,Yemen,1726,15,487,2,856,383,0,120,29874304,7/30/20,07/15/20
S,Suriname,1607,0,26,0,1003,578,11,1619,587053,7/30/20,07/15/20
N,New Zealand,1560,1,22,0,1514,24,0,462590,5002100,7/30/20,07/15/20
T,Tunisia,1514,26,50,0,1187,277,3,94271,11828437,7/30/20,07/15/20
U,Uruguay,1243,6,35,0,978,230,5,110951,3474726,7/30/20,07/15/20
L,Latvia,1228,4,31,0,1052,145,0,197035,1884332,7/30/20,07/15/20
J,Jordan,1191,4,11,0,1072,108,3,592524,10211202,7/30/20,07/15/20
L,Liberia,1181,2,73,1,667,441,0,0,5066338,7/30/20,07/15/20
G,Georgia,1160,5,17,0,935,208,5,214043,3988514,7/30/20,07/15/20
U,Uganda,1147,7,2,0,1028,117,0,266856,45840090,7/30/20,07/15/20
N,Niger,1134,2,69,0,1028,37,0,9052,24264572,7/30/20,07/15/20
A,Angola,1109,31,51,3,395,663,5,63371,32936655,7/30/20,07/15/20
B,Burkina Faso,1106,1,53,0,935,118,0,0,20943848,7/30/20,07/15/20
C,Cyprus,1090,10,19,0,852,219,0,196479,1208070,7/30/20,07/15/20
C,Chad,935,9,75,0,813,47,0,0,16458914,7/30/20,07/15/20
A,Andorra,922,4,52,0,806,64,0,3750,77275,7/30/20,07/15/20
T,Togo,908,12,18,0,626,264,2,41657,8292861,7/30/20,07/15/20
S,Sao Tome and Principe,870,2,15,0,771,84,0,2872,219466,7/30/20,07/15/20
J,Jamaica,856,1,10,0,724,122,0,37527,2962231,7/30/20,07/15/20
M,Malta,814,94,9,0,665,140,0,125685,441641,7/30/20,07/15/20
B,Botswana,804,0,2,0,63,739,1,68423,2355166,7/30/20,07/15/20
S,Syria,738,21,41,1,229,468,0,0,17531446,7/30/20,07/15/20
D,Diamond Princess,712,0,13,0,651,48,4,0,0,7/30/20,07/15/20
S,San Marino,699,0,42,0,657,0,0,5729,33937,7/30/20,07/15/20
R,Réunion,657,0,4,0,592,61,4,35419,895830,7/30/20,07/15/20
L,Lesotho,604,28,13,0,144,447,0,7463,2143618,7/30/20,07/15/20
C,Channel Islands,587,0,47,0,533,7,0,30721,173991,7/30/20,07/15/20
T,Tanzania,509,0,21,0,183,305,7,0,59853712,7/30/20,07/15/20
V,Vietnam,509,50,0,0,369,140,0,430000,97408737,7/30/20,07/15/20
B,Bahamas,508,24,14,3,91,403,1,4167,393544,7/30/20,07/15/20
T,Taiwan,467,0,7,0,441,19,0,81587,23820377,7/30/20,07/15/20
G,Gambia,403,77,8,0,66,329,0,4859,2421450,7/30/20,07/15/20
G,Guyana,401,3,20,0,185,196,3,4641,786864,7/30/20,07/15/20
B,Burundi,387,0,1,0,304,82,0,14362,11915413,7/30/20,07/15/20
C,Comoros,378,0,7,0,330,41,0,0,870971,7/30/20,07/15/20
M,Myanmar,353,2,6,0,295,52,0,112381,54439424,7/30/20,07/15/20
M,Mauritius,344,0,10,0,332,2,0,205285,1271944,7/30/20,07/15/20
I,Isle of Man,336,0,24,0,312,0,0,8181,85070,7/30/20,07/15/20
M,Mongolia,291,0,0,0,225,66,4,35228,3282334,7/30/20,07/15/20
E,Eritrea,279,14,0,0,225,54,0,0,3550236,7/30/20,07/15/20
M,Martinique,269,0,15,0,98,156,4,12227,375240,7/30/20,07/15/20
G,Guadeloupe,244,0,14,0,176,54,3,15235,400130,7/30/20,07/15/20
C,Cambodia,234,8,0,0,162,72,1,62058,16736949,7/30/20,07/15/20
F,Faeroe Islands,225,5,0,0,188,37,2,36922,48878,7/30/20,07/15/20
C,Cayman Islands,203,0,1,0,202,0,0,29942,65783,7/30/20,07/15/20
G,Gibraltar,187,1,0,0,180,7,0,20877,33690,7/30/20,07/15/20
T,Trinidad and Tobago,164,8,8,0,130,26,0,7716,1399864,7/30/20,07/15/20
B,Bermuda,156,0,9,0,141,6,0,20962,62258,7/30/20,07/15/20
B,Brunei,141,0,3,0,138,0,0,40202,437813,7/30/20,07/15/20
S,Sint Maarten,126,11,15,0,64,47,0,857,42914,7/30/20,07/15/20
M,Monaco,120,0,4,0,105,11,0,38209,39265,7/30/20,07/15/20
A,Aruba,120,1,3,0,105,12,0,11168,106803,7/30/20,07/15/20
S,Seychelles,114,0,0,0,39,75,0,0,98397,7/30/20,07/15/20
B,Barbados,110,0,7,0,96,7,0,10881,287404,7/30/20,07/15/20
T,Turks and Caicos,104,5,2,0,37,65,1,1168,38758,7/30/20,07/15/20
B,Bhutan,101,2,0,0,88,13,0,42190,772280,7/30/20,07/15/20
A,Antigua and Barbuda,91,0,3,0,67,21,1,1345,97994,7/30/20,07/15/20
L,Liechtenstein,88,0,1,0,85,2,0,900,38137,7/30/20,07/15/20
P,Papua New Guinea,63,0,2,0,11,50,0,10000,8959762,7/30/20,07/15/20
F,French Polynesia,62,0,0,0,62,0,0,5390,281041,7/30/20,07/15/20
S,St. Vincent Grenadines,52,0,0,0,39,13,0,1866,110969,7/30/20,07/15/20
S,Saint Martin,49,0,3,0,41,5,1,1080,38716,7/30/20,07/15/20
B,Belize,48,0,2,0,27,19,0,3251,398173,7/30/20,07/15/20
M,Macao,46,0,0,0,46,0,0,4071,650024,7/30/20,07/15/20
C,Curaçao,29,0,1,0,24,4,0,1080,164148,7/30/20,07/15/20
F,Fiji,27,0,0,0,18,9,0,4000,896971,7/30/20,07/15/20
S,Saint Lucia,25,1,0,0,22,3,0,2968,183696,7/30/20,07/15/20
G,Grenada,24,1,0,0,23,1,0,6252,112566,7/30/20,07/15/20
T,Timor-Leste,24,0,0,0,24,0,0,1568,1320331,7/30/20,07/15/20
N,New Caledonia,22,0,0,0,22,0,0,10186,285717,7/30/20,07/15/20
L,Laos,20,0,0,0,19,1,0,26737,7283730,7/30/20,07/15/20
D,Dominica,18,0,0,0,18,0,0,1005,72001,7/30/20,07/15/20
S,Saint Kitts and Nevis,17,0,0,0,15,2,0,1006,53229,7/30/20,07/15/20
G,Greenland,14,0,0,0,13,1,0,5836,56778,7/30/20,07/15/20
F,Falkland Islands,13,0,0,0,13,0,0,1816,3487,7/30/20,07/15/20
M,Montserrat,12,0,1,0,10,1,0,61,4992,7/30/20,07/15/20
V,Vatican City,12,0,0,0,12,0,0,0,801,7/30/20,07/15/20
C,Caribbean Netherlands,11,0,0,0,7,4,0,424,26242,7/30/20,07/15/20
W,Western Sahara,10,0,1,0,8,1,0,0,598400,7/30/20,07/15/20
M,MS Zaandam,9,0,2,0,0,7,0,0,0,7/30/20,07/15/20
B,British Virgin Islands,8,0,1,0,7,0,0,439,30247,7/30/20,07/15/20
S,St. Barth,7,0,0,0,6,1,0,1246,9879,7/30/20,07/15/20
S,Saint Pierre Miquelon,4,0,0,0,1,3,0,0,5792,7/30/20,07/15/20
A,Anguilla,3,0,0,0,3,0,0,380,15014,7/30/20,07/15/20
U,USA,4973568,55148,161601,1311,2540137,2271830,18424,62381295,331192837,8/5/20,08/15/20
B,Brazil,2862761,54685,97418,1322,2020637,744706,8318,13329028,212706570,8/5/20,08/15/20
I,India,1963239,56626,40739,919,1327200,595300,8944,21484402,1381307956,8/5/20,08/15/20
R,Russia,866627,5204,14490,139,669026,183111,2300,29400000,145940753,8/5/20,08/15/20
S,South Africa,529877,8559,9298,414,377266,143313,539,3113191,59379523,8/5/20,08/15/20
M,Mexico,449961,6148,48869,857,300254,100838,3925,1026294,129062461,8/5/20,08/15/20
P,Peru,447624,7734,20228,221,306430,120966,1418,2466745,33015064,8/5/20,08/15/20
C,Chile,364723,1761,9792,47,338291,16640,1400,1737813,19132066,8/5/20,08/15/20
S,Spain,352847,2953,28499,1,0,0,617,7064329,46756599,8/5/20,08/15/20
C,Colombia,345714,10735,11624,309,186317,147773,1493,1761772,50934781,8/5/20,08/15/20
I,Iran,317483,2697,17802,185,274932,24749,4129,2587083,84094686,8/5/20,08/15/20
U,UK,307184,891,46364,65,0,0,77,17210335,67921056,8/5/20,08/15/20
S,Saudi Arabia,282824,1389,3020,36,245314,34490,1991,3580139,34864436,8/5/20,08/15/20
P,Pakistan,281136,675,6014,15,254286,20836,872,2043870,221284113,8/5/20,08/15/20
I,Italy,248803,384,35181,10,200976,12646,41,7041040,60452810,8/5/20,08/15/20
B,Bangladesh,246674,2654,3267,33,141750,101657,0,1212416,164846922,8/5/20,08/15/20
T,Turkey,236112,1178,5784,19,219506,10822,582,5027308,84425853,8/5/20,08/15/20
A,Argentina,220682,7147,4106,127,96948,119628,1150,777278,45235752,8/5/20,08/15/20
G,Germany,214104,1024,9245,13,194700,10159,270,8586648,83810530,8/5/20,08/15/20
F,France,194029,1695,30305,9,82166,81558,384,2982302,65287912,8/5/20,08/15/20
I,Iraq,137556,2834,5094,77,98442,34020,519,1076150,40303553,8/5/20,08/15/20
C,Canada,118187,395,8962,4,102788,6437,2263,4272606,37774118,8/5/20,08/15/20
I,Indonesia,116871,1815,5452,64,73889,37530,0,1575043,273800467,8/5/20,08/15/20
P,Philippines,115899,3381,2122,8,66268,47509,239,1643624,109718734,8/5/20,08/15/20
Q,Qatar,111805,267,178,1,108539,3088,75,508079,2807805,8/5/20,08/15/20
K,Kazakhstan,94882,1062,1058,0,67031,26793,221,2113795,18798053,8/5/20,08/15/20
E,Egypt,94875,123,4930,18,47182,42763,41,135000,102511243,8/5/20,08/15/20
E,Ecuador,88866,903,5847,39,71168,11851,378,254351,17668092,8/5/20,08/15/20
C,China,84491,27,4634,0,79047,810,36,90410000,1439323776,8/5/20,08/15/20
B,Bolivia,83361,1515,3320,92,25390,54651,71,178244,11688023,8/5/20,08/15/20
S,Sweden,81904,426,5761,0,0,0,41,863315,10105424,8/5/20,08/15/20
O,Oman,80286,585,488,6,69803,9995,184,308333,5118090,8/5/20,08/15/20
I,Israel,77919,1721,565,4,51395,25959,345,1842335,9197590,8/5/20,08/15/20
D,Dominican Republic,75660,1365,1222,9,40122,34316,304,278435,10858351,8/5/20,08/15/20
U,Ukraine,75490,1271,1788,24,41527,32175,136,1081146,43706572,8/5/20,08/15/20
B,Belgium,70648,334,9852,2,17639,43157,63,1743265,11594601,8/5/20,08/15/20
P,Panama,70231,807,1553,31,44792,23886,161,237489,4321096,8/5/20,08/15/20
K,Kuwait,69425,651,468,3,60906,8051,128,518601,4276486,8/5/20,08/15/20
B,Belarus,68376,126,577,3,63425,4374,0,1334868,9449009,8/5/20,08/15/20
U,UAE,61606,254,353,2,55385,5868,0,5262658,9901752,8/5/20,08/15/20
R,Romania,56550,1309,2521,41,28584,25445,464,1295222,19224372,8/5/20,08/15/20
N,Netherlands,56381,426,6153,3,0,0,45,1079860,17138652,8/5/20,08/15/20
S,Singapore,54254,908,27,0,47768,6459,1,1474372,5854806,8/5/20,08/15/20
G,Guatemala,53509,1144,2072,35,41199,10238,5,169231,17945992,8/5/20,08/15/20
P,Portugal,51848,167,1740,1,37565,12543,41,1688567,10193674,8/5/20,08/15/20
P,Poland,48789,640,1756,18,35321,11712,72,2374686,37842414,8/5/20,08/15/20
N,Nigeria,44890,457,927,17,32165,11798,7,304221,206592298,8/5/20,08/15/20
H,Honduras,44299,505,1400,16,5921,36978,52,109292,9919273,8/5/20,08/15/20
B,Bahrain,42514,382,154,3,39576,2784,41,867534,1706506,8/5/20,08/15/20
J,Japan,41129,1271,1022,6,28028,12079,104,897340,126436912,8/5/20,08/15/20
A,Armenia,39586,288,770,2,30850,7966,0,170012,2963796,8/5/20,08/15/20
G,Ghana,39075,1263,199,8,35563,3313,7,405817,31131707,8/5/20,08/15/20
K,Kyrgyzstan,38110,569,1438,11,29513,7159,24,267718,6534184,8/5/20,08/15/20
A,Afghanistan,36829,47,1294,6,25742,9793,31,89822,39007045,8/5/20,08/15/20
S,Switzerland,35927,181,1984,3,31600,2343,24,815937,8660780,8/5/20,08/15/20
A,Azerbaijan,33103,193,476,3,28840,3787,66,759129,10147994,8/5/20,08/15/20
A,Algeria,33055,551,1261,13,22802,8992,57,0,43923912,8/5/20,08/15/20
M,Morocco,28500,1283,435,18,19994,8071,31,1361550,36952164,8/5/20,08/15/20
U,Uzbekistan,27793,746,171,6,18783,8839,224,1377915,33514701,8/5/20,08/15/20
S,Serbia,27033,295,614,9,14047,12372,132,713104,8733761,8/5/20,08/15/20
I,Ireland,26303,50,1763,0,23364,1176,5,648084,4943050,8/5/20,08/15/20
M,Moldova,26222,408,823,13,18167,7232,362,128076,4033008,8/5/20,08/15/20
K,Kenya,23873,671,391,3,9930,13552,44,329123,53877917,8/5/20,08/15/20
V,Venezuela,22299,861,195,8,12146,9958,42,1567431,28427719,8/5/20,08/15/20
A,Austria,21566,85,719,0,19464,1383,25,923902,9011437,8/5/20,08/15/20
N,Nepal,21390,381,60,2,15156,6174,0,725355,29185053,8/5/20,08/15/20
C,Costa Rica,20417,580,191,10,6851,13375,100,96110,5098603,8/5/20,08/15/20
E,Ethiopia,20336,459,356,13,8598,11382,185,459746,115215932,8/5/20,08/15/20
A,Australia,19444,714,247,15,10799,8398,47,4541419,25528056,8/5/20,08/15/20
E,El Salvador,18701,439,498,12,9111,9092,509,251271,6489425,8/5/20,08/15/20
C,Cameroon,17718,0,391,0,15320,2007,30,149000,26604377,8/5/20,08/15/20
C,Czechia,17529,243,388,5,11909,5232,19,722003,10710965,8/5/20,08/15/20
I,Ivory Coast,16349,56,103,0,12191,4055,0,103624,26436160,8/5/20,08/15/20
S,S. Korea,14456,33,302,1,13406,748,14,1598187,51273612,8/5/20,08/15/20
D,Denmark,14185,112,616,0,12753,816,2,1629692,5794223,8/5/20,08/15/20
B,Bosnia and Herzegovina,13138,282,379,6,6839,5920,0,145559,3278705,8/5/20,08/15/20
P,Palestine,13065,295,89,3,6618,6358,0,200280,5112015,8/5/20,08/15/20
B,Bulgaria,12717,303,424,9,7154,5139,44,287654,6942996,8/5/20,08/15/20
M,Madagascar,12222,327,127,4,9798,2297,84,45634,27753757,8/5/20,08/15/20
S,Sudan,11780,0,763,0,6194,4823,0,401,43940731,8/5/20,08/15/20
N,North Macedonia,11289,87,511,6,7221,3557,4,108384,2083365,8/5/20,08/15/20
S,Senegal,10538,106,218,4,6988,3332,38,112844,16782667,8/5/20,08/15/20
N,Norway,9409,47,256,0,8752,401,1,465317,5425355,8/5/20,08/15/20
D,DRC,9253,75,215,0,7821,1217,0,0,89794710,8/5/20,08/15/20
M,Malaysia,9023,21,125,0,8702,196,2,991333,32405239,8/5/20,08/15/20
F,French Guiana,8069,71,47,2,7075,947,24,41090,299363,8/5/20,08/15/20
G,Gabon,7787,141,51,0,5609,2127,11,85369,2230420,8/5/20,08/15/20
T,Tajikistan,7625,42,61,0,6399,1165,0,0,9556882,8/5/20,08/15/20
G,Guinea,7575,86,49,1,6632,894,24,14407,13163928,8/5/20,08/15/20
H,Haiti,7532,21,171,5,4832,2529,0,18443,11415724,8/5/20,08/15/20
F,Finland,7512,29,331,0,6980,201,1,385200,5541581,8/5/20,08/15/20
Z,Zambia,7022,229,176,3,5667,1179,0,88471,18428716,8/5/20,08/15/20
L,Luxembourg,7007,90,118,0,5623,1266,75,613923,626924,8/5/20,08/15/20
M,Mauritania,6444,26,157,0,5291,996,3,57387,4660393,8/5/20,08/15/20
P,Paraguay,6060,208,61,2,4839,1160,18,129724,7140851,8/5/20,08/15/20
A,Albania,5889,139,182,6,3123,2584,23,38997,2877479,8/5/20,08/15/20
L,Lebanon,5417,146,68,3,1880,3469,41,337195,6822303,8/5/20,08/15/20
C,Croatia,5376,58,154,0,4589,633,7,124383,4102645,8/5/20,08/15/20
D,Djibouti,5330,82,59,0,5057,214,0,59909,989347,8/5/20,08/15/20
G,Greece,4974,119,210,1,1374,3390,13,609583,10417811,8/5/20,08/15/20
E,Equatorial Guinea,4821,0,83,0,2182,2556,0,44356,1406875,8/5/20,08/15/20
C,CAR,4618,0,59,0,1640,2919,2,29567,4837523,8/5/20,08/15/20
M,Maldives,4594,148,19,0,2703,1872,12,84144,541422,8/5/20,08/15/20
H,Hungary,4564,11,599,1,3431,534,7,350108,9657851,8/5/20,08/15/20
L,Libya,4475,251,99,3,640,3736,0,55899,6880098,8/5/20,08/15/20
M,Malawi,4426,65,136,8,2078,2212,4,32680,19173484,8/5/20,08/15/20
Z,Zimbabwe,4221,0,81,0,1238,2902,0,140421,14883212,8/5/20,08/15/20
N,Nicaragua,3902,0,123,0,2913,866,0,0,6632047,8/5/20,08/15/20
H,Hong Kong,3755,85,43,2,2314,1398,45,593962,7502875,8/5/20,08/15/20
C,Congo,3546,0,58,0,1589,1899,0,0,5530134,8/5/20,08/15/20
M,Montenegro,3411,50,57,4,2032,1322,0,37995,628074,8/5/20,08/15/20
T,Thailand,3328,7,58,0,3144,126,1,749213,69817417,8/5/20,08/15/20
S,Somalia,3227,7,93,0,1728,1406,2,0,15931796,8/5/20,08/15/20
M,Mayotte,3031,8,39,0,2738,254,2,13000,273400,8/5/20,08/15/20
E,Eswatini,2909,53,53,4,1385,1471,5,20784,1161315,8/5/20,08/15/20
S,Sri Lanka,2839,5,11,0,2537,291,1,166737,21422117,8/5/20,08/15/20
C,Cuba,2726,25,88,0,2396,242,2,281595,11325918,8/5/20,08/15/20
C,Cabo Verde,2689,58,27,1,1955,707,0,61633,556564,8/5/20,08/15/20
M,Mali,2546,3,124,0,1950,472,0,25152,20301301,8/5/20,08/15/20
N,Namibia,2540,70,12,0,556,1972,24,29233,2545138,8/5/20,08/15/20
S,South Sudan,2437,0,47,0,1175,1215,0,12044,11206213,8/5/20,08/15/20
S,Slovakia,2417,49,29,0,1777,611,2,269655,5459908,8/5/20,08/15/20
S,Slovenia,2208,18,124,1,1884,200,2,134931,2078967,8/5/20,08/15/20
L,Lithuania,2147,10,81,1,1650,416,6,536377,2718224,8/5/20,08/15/20
E,Estonia,2113,22,63,0,1948,102,0,121941,1326625,8/5/20,08/15/20
R,Rwanda,2104,5,5,0,1237,862,0,283055,12980666,8/5/20,08/15/20
M,Mozambique,2079,50,15,0,778,1286,0,63725,31331560,8/5/20,08/15/20
S,Suriname,2050,69,27,0,1327,696,13,2584,587139,8/5/20,08/15/20
